Paper Title,Contributors
Nota dei curatori,"MILANO, MICHELA; OMICINI, ANDREA"
Message from the Program Chairs,"OMICINI, ANDREA"
Preface,"OMICINI, ANDREA; TORRONI, PAOLO"
The Second AgentLink III Technical Forum,"OMICINI, ANDREA"
A novel approach to change detection based on a coarse-to-fine strategy,"BEVILACQUA, ALESSANDRO; DI STEFANO, LUIGI; LANZA, ALESSANDRO"
A Simple Self-Calibration Method To Infer A Non-Parametric Model Of The Imaging System Noise,"BEVILACQUA, ALESSANDRO; DI STEFANO, LUIGI; LANZA, ALESSANDRO"
Occlusion Robust Vehicle Tracking based on SOM (Self-Organizing Map),"BEVILACQUA, ALESSANDRO; DI STEFANO, LUIGI"
Personalized Access to Multi-version Norm Texts in an eGovernment Scenario,"GRANDI, FABIO; SCALAS, MARIA RITA"
L’evoluzione della rete ottica di telecomunicazioni  la visione del progetto europeo e-Photon/ONe,"CALLEGATI, FRANCO"
Grassroots Approach to Self-Management in Large-Scale Distributed Systems,"BABAOGLU, OZALP; MONTRESOR, ALBERTO"
A Ground-Complete Axiomatization of Finite State Processes in Process Algebra,"BRAVETTI, MARIO"
An ACL for Specifying Fault-Tolerant Protocols,"DRAGONI, NICOLA; GASPARI, MAURO; GUIDI, DAVIDE"
Apparecchio e metodo per discriminare una impronta digitale vera da una impronta digitale artificiale attraverso l’analisi dell’odore del dito associato all’impronta digitale da discriminare,"FRANCO, ANNALISA; MAIO, DARIO; MALTONI, DAVIDE"
"Apparecchio e metodo per discriminare una impronta digitale vera da una impronta digitale artificiale falsa, attraverso l’analisi della distorsione elastica della pelle","CAPPELLI, RAFFAELE; MAIO, DARIO; MALTONI, DAVIDE"
PiDuce: a process calculus with native XML datatypes,"LANEVE, COSIMO"
On the Expressiveness of Probabilistic and Prioritized Data-retrieval in Linda,"BRAVETTI, MARIO; GORRIERI, ROBERTO; LUCCHI, ROBERTO; ZAVATTARO, GIANLUIGI"
Agent Interaction Semantics by Timed Operating Instructions,"VIROLI, MIRKO; RICCI, ALESSANDRO"
Synopsis for Microbiological Data Stream Analysis,"CELLAROSI, GIANFRANCO; SARTORI, CLAUDIO"
Allocation and scheduling for MPSoCs via Decomposition and No.Good Generation,"BENINI, LUCA; GUERRI, ALESSIO; MILANO, MICHELA"
Proceedings of the 2nd Int.l Conference on the Integration of AI and OR techniques in Constraint programming,"MILANO, MICHELA"
Workshop on the Foundations of Interactive Computation: FInCo 2005,"VIROLI, MIRKO"
The Network of Excellence e-Photon/ONe,"CALLEGATI, FRANCO"
A Distributed Implementation of Mobile Nets as Mobile Agents,"BUSI, NADIA; L. Padovani"
Enabling context-aware group collaboration in MANETs,"BOTTAZZI, DARIO; CORRADI, ANTONIO; MONTANARI, REBECCA"
Context-Awareness for Impromptu Collaboration in MANETs,"BOTTAZZI, DARIO; CORRADI, ANTONIO; MONTANARI, REBECCA"
Context-based Security Management for Multi-Agent Systems,"MONTANARI, REBECCA; TONINELLI, ALESSANDRA"
A Context-centric Security Middleware for Service provisioning in Pervasive Computing,"CORRADI, ANTONIO; MONTANARI, REBECCA; TIBALDI, DANIELA; TONINELLI, ALESSANDRA"
"Computational Logic in Multi-Agent Systems. Fifth International Workshop, CLIMA V, Lisbon, Portugal, September 2004. Revised Selected and Invited Papers","TORRONI, PAOLO"
Optimal Incremental Evaluation of Preference Queries Based on Ranked Sub-queries,"BARTOLINI, ILARIA; CIACCIA, PAOLO"
Analysis of High Performance Communication and Computation Solutions for Parallel and Distributed Simulation,"BONONI, LUCIANO; BRACUTO, MICHELE; D'ANGELO, GABRIELE; DONATIELLO, LORENZO"
The Distributed Contention in the Medium Access Control of IEEE 802.11 Wireless LANs: a Space and Time Perspective,"BONONI, LUCIANO; DONATIELLO, LORENZO"
A Framework for  Engineering Interactions in Java-based Component Systems,"NATALI, ANTONIO; OLIVA, ENRICO; RICCI, ALESSANDRO; VIROLI, MIRKO"
Designing a BPEL Orchestration Engine based on ReSpecT Tuple Centres,"DENTI, ENRICO; RICCI, ALESSANDRO; VIROLI, MIRKO"
"Scalable and Efficient Parallel and Distributed Simulation of Complex, Dynamic and Mobile Systems.","BONONI, LUCIANO; BRACUTO, MICHELE; D'ANGELO, GABRIELE; DONATIELLO, LORENZO"
Integrating Knowledge-Level Agents in the (Semantic) Web: An Agent-based Open Service Architecture,"DRAGONI, NICOLA; GASPARI, MAURO; GUIDI, DAVIDE"
Allocation and Scheduling for MPSoCs via decomposition and no-good generation,"BENINI, LUCA; BERTOZZI, DAVIDE; GUERRI, ALESSIO; MILANO, MICHELA"
A Peer-to-Peer Knowledge Level Open Service Architecture,"DRAGONI, NICOLA; GASPARI, MAURO; GUIDI, DAVIDE"
Rewriting Rules to Permeate Complex Similarity and Fuzzy Queries within a Relational Database System,"PENZO, WILMA"
Sistemi operativi,"BOARI, MAURELIO; CIAMPOLINI, ANNA"
Measuring Efficiency and Executability of Allocation and Scheduling in Multi-Processor Systems-on-Chip,"BENINI, LUCA; BERTOZZI, DAVIDE; GUERRI, ALESSIO; MILANO, MICHELA; POLETTI, FRANCESCO"
6th International Workshop on Computational Logic in Multi-Agent Systems,"TORRONI, PAOLO"
Virtual Square,"DAVOLI, RENZO"
Virtual Square in Computer Science Education,"DAVOLI, RENZO"
The Kaya project and the uMPS hardware emulator,"DAVOLI, RENZO"
VDE: virtual distributed ethernet.,"DAVOLI, RENZO"
"Design and implementation of a multifunction, modular and extensible proxy server","DAVOLI, RENZO"
Design and Implementation of a New Public-Key Certificate Status Handling Scheme,"FALDELLA, EUGENIO; PRANDINI, MARCO"
A MULTI-PLATFORM TOOLKIT FOR THE CONFIGURATION OF PACKET-FILTERING FIREWALLS,"PRANDINI, MARCO"
Webpi at work,"LANEVE, COSIMO; ZAVATTARO, GIANLUIGI"
Foundations of web transactions,"LANEVE, COSIMO; ZAVATTARO, GIANLUIGI"
BoPi: a distributed machine for experimenting web-services technologies,"CARPINETI, SAMUELE; LANEVE, COSIMO"
Transactional Aspects in Semantic Based Discovery of Services,"BOCCHI, LAURA; CIANCARINI, PAOLO; ROSSI, DAVIDE"
Analyzing Performance Data Exchange in Content Delivery Networks,"ROSSI, DAVIDE; TURRINI, ELISA"
An OWL-S based approach to express grid services coordination,"BOCCHI, LAURA; CIANCARINI, PAOLO; MORETTI, ROCCO; PRESUTTI, VALENTINA; ROSSI, DAVIDE"
QoS-aware Application Servers: an Experimental Evaluation,"LODI, GIORGIA; PANZIERI, FABIO; ROSSI, DAVIDE; TURRINI, ELISA"
An item response theory model for students ability evaluation using computer-automated test results,"MIGNANI, STEFANIA; CAGNONE, SILVIA; CASADEI, GIORGIO; CARBONARO, ANTONELLA"
Tag-Based Cooperation in Peer-to-Peer Networks with Newscast,"JESI, GIAN PAOLO; ARTECONI, STEFANO; BABAOGLU, OZALP"
SLACER: Randomness to Cooperation in Peer-to-Peer Networks,"ARTECONI, STEFANO; BABAOGLU, OZALP"
Accesso Personalizzato a Documenti Multiversione per Applicazioni nel Settore dell’eGovernment,"GRANDI, FABIO; SCALAS, MARIA RITA"
Security Issues in the Tuple-Space Coordination Model,"BRAVETTI, MARIO; BUSI, NADIA; GORRIERI, ROBERTO; LUCCHI, ROBERTO; ZAVATTARO, GIANLUIGI"
SWIMM: Servizi web interattivi e mdali per la mobilità,"BOARI, MAURELIO; CORRADI, ANTONIO; ROCCETTI, MARCO; M. Colajanni"
Warping the Time on Data Streams,"CAPITANI, PAOLO; CIACCIA, PAOLO"
Efficiently and Accurately Comparing Real-valued Data Streams,"CAPITANI, PAOLO; CIACCIA, PAOLO"
"Agents and Peer-to-Peer Computing, Third International Workshop, AP2PC 2004, New York, USA, Revised and Invited Papers, Springer LNAI 3601","MORO, GIANLUCA"
Proceedings of the 21st International Conference on Logic Programming,"GABBRIELLI, MAURIZIO"
Compositional Verification of Asynchronous Processes via Constraint Solving,"GABBRIELLI, MAURIZIO"
Supporting e-commerce systems formalization with choreography languages,"BRAVETTI, MARIO; GUIDI, CLAUDIO; LUCCHI, ROBERTO; ZAVATTARO, GIANLUIGI"
Keeping the Packet Sequence in Optical Packet-Switched Networks,"CALLEGATI, FRANCO; CERRONI, WALTER; MURETTO, GIOVANNI; RAFFAELLI, CARLA; ZAFFONI, PAOLO"
Securing Data by Steganography on Small Devices,"AMOROSO, ALESSANDRO"
The Self-Star Vision,"BABAOGLU, OZALP; MONTRESOR, ALBERTO"
A content based mathematical search engine: Whelp,"ASPERTI, ANDREA; GUIDI, FERRUCCIO; SACERDOTI COEN, CLAUDIO; TASSI, ENRICO; ZACCHIROLI, STEFANO"
Goal-oriented requirement analysis for data warehouse design,"RIZZI, STEFANO"
Integrated Support for Handoff Management and Context  Awareness in Heterogeneous Wireless Networks,"BELLAVISTA, PAOLO; FOSCHINI, LUCA"
"FILA, a Holistic Approach to Massive Online Gaming: Algorithm Comparison and Performance Analysis","FERRETTI, STEFANO; ROCCETTI, MARCO; G. Pau"
Generazione Automatica di Learning Objects Accessibili a Partire da Documenti: il Sistema di Produzione di A3,"SALOMONI, PAOLA; DONATIELLO, LORENZO; MARTINI, SIMONE; ROCCETTI, MARCO; F. Vitali"
"Concepts, Technologies, Systems and Applications for On-line Entertainment","ROCCETTI, MARCO; SALOMONI, PAOLA"
An Agent-Oriented Conceptual Framework for Systems Biology,"OMICINI, ANDREA; RICCI, ALESSANDRO"
Cognitive Stigmergy: A Framework Based on Agents and Artifacts,"RICCI, ALESSANDRO; OMICINI, ANDREA; VIROLI, MIRKO; GARDELLI, LUCA; OLIVA, ENRICO"
On the Role of Simulation in the Engineering of Self-Organising Systems: Detecting Abnormal Behaviour in MAS,"GARDELLI, LUCA; VIROLI, MIRKO; OMICINI, ANDREA"
SODA: A Roadmap to Artefacts,"MOLESINI, AMBRA; OMICINI, ANDREA; DENTI, ENRICO; RICCI, ALESSANDRO"
Quantitative Information in the Tuple Space Coordination Model,"BRAVETTI, MARIO; GORRIERI, ROBERTO; LUCCHI, ROBERTO; ZAVATTARO, GIANLUIGI"
Foundations of Security Analysis and Design III,"ALDINI, ALESSANDRO; GORRIERI, ROBERTO"
Reasoning about interaction patterns in Choreography,"GORRIERI, ROBERTO; GUIDI, CLAUDIO; LUCCHI, ROBERTO"
Choreography and Orchestration: A Synergic Approach for System Design,"BUSI, NADIA; GORRIERI, ROBERTO; GUIDI, CLAUDIO; LUCCHI, ROBERTO; ZAVATTARO, GIANLUIGI"
The AgentLink III Technical Forums: Introduction to the Special Issue,"OMICINI, ANDREA"
The Second AgentLink III Technical Forum: Main Issues and Hot Topics in European Agent Research,"OMICINI, ANDREA"
The Third AgentLink III Technical Forum,"OMICINI, ANDREA"
Preface,"OMICINI, ANDREA"
Lightweight family polymorphism,"VIROLI, MIRKO"
Effective and efficient compilation of run-time generics in Java,"VIROLI, MIRKO"
On access restriction with Java wildcards,"VIROLI, MIRKO"
Environments in multiagent systems,"RICCI, ALESSANDRO; VIROLI, MIRKO"
Transactions on Computational Systems Biology III,"OMICINI, ANDREA"
WOA 2005 -- Dagli oggetti agli agenti: simulazione e analisi formale di sistemi complessi,"OMICINI, ANDREA"
A framework for modeling and evaluating semantic reconciliation,"MONTESI, DANILO"
XMatch: a language for satisfaction-based selection of Grid services,"ANDREOZZI, SERGIO; MONTESI, DANILO; MORETTI, ROCCO"
XML and relational data: towards a common model and algebra,"MAGNANI, MATTEO; MONTESI, DANILO"
Uncertainty in semantic schema integration,"MAGNANI, MATTEO; MONTESI, DANILO"
Schema integration based on uncertainty semantic mappings,"MAGNANI, MATTEO; MONTESI, DANILO"
An overview of imperfection representation in semistructured data,"MAGNANI, MATTEO; MONTESI, DANILO"
Data Model and Query Languages for Biological Databases,"MONTESI, DANILO"
Protocol Specification and Verification by Using Computational Logic,"CIAMPOLINI, ANNA; CHESANI, FEDERICO; MELLO, PAOLA; MONTALI, MARCO; TORRONI, PAOLO"
"Collision Avoidance, Contention Control and Power Saving in IEEE 802.11 Wireless LANs","BONONI, LUCIANO; DONATIELLO, LORENZO"
Expressing Interaction in Combinatorial Auctions Through Social Integrity Constraints,"CHESANI, FEDERICO; GUERRI, ALESSIO; MELLO, PAOLA; MILANO, MICHELA; TORRONI, PAOLO"
Towards a formal framework for Choreography,"BUSI, NADIA; GORRIERI, ROBERTO; GUIDI, CLAUDIO; LUCCHI, ROBERTO; ZAVATTARO, GIANLUIGI"
"Formal Methods for Open Object-Based Distributed Systems, 7th IFIP WG 6.1 International Conference","ZAVATTARO, GIANLUIGI"
"Formal Techniques for Computer Systems and Business Processes, European Performance Engineering Workshop, EPEW 2005 and International Workshop on Web Services and Formal Methods, WS-FM 2005","BRAVETTI, MARIO; ZAVATTARO, GIANLUIGI"
On the representation of McCarthy's amb in the Pi-calculus,"SANGIORGI, DAVIDE"
Types in concurrency,"SANGIORGI, DAVIDE"
"Computational Logic in Multi-Agent Systems - 6th International Workshop, CLIMA VI, London, UK, June 27-29, 2005, Revised Selected and Invited Papers","TORRONI, PAOLO"
A Correct Abstract Machine for Safe Ambients.,"SANGIORGI, DAVIDE"
"Trustworthy Global Computing, International Symposium, LNCS 3705","SANGIORGI, DAVIDE"
Ensuring Termination by Typability,"SANGIORGI, DAVIDE"
Personalized Views Of Relevant Information Using A Collaborative Bookmark Management System,"CARBONARO, ANTONELLA"
Defining personalized learning views of relevant learning objects in a collaborative bookmark management system,"CARBONARO, ANTONELLA"
Personalization Services for Learning Management Systems in Mobile Settings,"CARBONARO, ANTONELLA"
Multi-Agent Systems in Logic Programming: Challenges and Outcomes of the SOCS Project,"TORRONI, PAOLO"
Always-best-served music distribution for nomadic users over heterogeneous networks,"GHINI, VITTORIO; G. Pau; SALOMONI, PAOLA"
A compositional semantics for CHR.,"GABBRIELLI, MAURIZIO"
Worldwide computing: Adaptive Middleware and programming technology for dynamic Grid environments,"CIANCARINI, PAOLO"
Experimental Evaluation of a QoS-aware Application Server,"LODI, GIORGIA; PANZIERI, FABIO; D. Rossi"
From the writable web to global editability,"DI IORIO, ANGELO; VITALI, FABIO"
Beyond Proxies: XLink Support In The Browser,"DI IORIO, ANGELO; VITALI, FABIO"
Design patterns for document substructures,"VITALI, FABIO; DI IORIO, ANGELO"
Supporting eBusiness with a dictionary designed in a vertical standardisation perspective,"GESSA, NICOLA; VITALI, FABIO"
Survey of RDF/Topic Maps Interoperability Proposals,"VITALI, FABIO; GESSA, NICOLA; PRESUTTI, VALENTINA"
Web Authoring: A Closed Case?,"DI IORIO, ANGELO; VITALI, FABIO"
Protein classification by surface analysis,"BALDACCI, LORENZO; CAPOZZI, FRANCESCO; GOLFARELLI, MATTEO; LUMINI, ALESSANDRA; RIZZI, STEFANO; TURANO, MARIA"
Pattern Recognition and data mining on protein surfaces,"BALDACCI, LORENZO; CAPOZZI, FRANCESCO; GOLFARELLI, MATTEO; LUMINI, ALESSANDRA; RIZZI, STEFANO; TURANO, MARIA"
Analyzing the Impact of Components Replication in High Available J2EE Clusters,"ROSSI, DAVIDE; TURRINI, ELISA"
Il Computer Gioca a Scacchi,"CIANCARINI, PAOLO"
Certificazione delle Conoscenze Informatiche nell'Università Italiana,"CIANCARINI, PAOLO"
Simply Creating Accessible Learning Object,"DI IORIO, ANGELO; FELIZIANI, ANTONIO ANGELO; MIRRI, SILVIA; SALOMONI, PAOLA; VITALI, FABIO"
Reti Logiche,"LASCHI, ROBERTO; PRANDINI, MARCO"
Tecnologie per la sicurezza,"LASCHI, ROBERTO; MONTANARI, REBECCA"
An  architecture for knowledge management in intelligent tutoring system,"CARBONARO, ANTONELLA; CASADEI, GIORGIO"
"Emergence and Control of Macro Spatial Structures in Perturbed Cellular Automata, and Implications for Pervasive Computing Systems","ROLI, ANDREA"
An introduction to Metaheuristic Techniques,"ROLI, ANDREA"
On the impact of small-world on local search,"ROLI, ANDREA"
Symmetry breaking and local search spaces,"ROLI, ANDREA"
Speaking Words of WISDOM: Web Intelligent Search based on DOMain ontologies,"CIACCIA, PAOLO"
Servizi interattivi per la TV digitale Terrestre,"BOARI, MAURELIO; CORRADI, ANTONIO; ROCCETTI, MARCO"
Random walk and parallelism in local search,"ROLI, ANDREA"
Combining ILS with an effective constructive heuristic for the application to error correcting code design,"ROLI, ANDREA"
"Hybrid Metaheuristics - Second International Workshop, HM 2005","ROLI, ANDREA"
Hybrid Metaheuristics: Preface to the proceedings of HM2005,"ROLI, ANDREA"
Links between complex networks and combinatorial optimization,"ROLI, ANDREA"
NOWHERE - An Open Service Architecture to support Agents and Services within the Semantic Web,"DRAGONI, NICOLA; GASPARI, MAURO; GUIDI, DAVIDE"
"Proceedings of the Fifth Workshop on Modelling and Solving Problems with Constraints. Held at the Nineteenth International Joint Conference on Artificial Intelligence ( IJCAI 2005 ), Edindurgh, Scotland, 31 July, 2005.","KIZILTAN, ZEYNEP"
Reachability Analysis in Boxed Ambients,"BUSI, NADIA; ZAVATTARO, GIANLUIGI"
Adaptive Semantic Support Provisioning in Mobile Internet Environments,"CORRADI, ANTONIO; MONTANARI, REBECCA; TONINELLI, ALESSANDRA"
"Proceedings of the 3-rd IEEE International Workshop on Mobility Management and Wireless Access (MobiWac 2005) of the IEEE International Conference on Wireless Networks, Communications and Mobile Computing (WirelessCom 2005)","BONONI, LUCIANO"
"Agents and Peer-to-Peer Computing, AP2PC 2004: Preface","MORO, GIANLUCA"
B2B: Standardization or Customisation?,"GESSA, NICOLA; VITALI, FABIO"
"IEEE Communications Magazine - Special Feature on Entertainment Everywhere: System and Networking Issues in Emerging Network-Centric Entertainment Systems, Part I, Vol. 43, N. 5, May 2005","ROCCETTI, MARCO"
"IEEE Communications Magazine - Special Feature on Entertainment Everywhere: System and Networking Issues in Emerging Network-Centric Entertainment Systems, Part II,  Vol. 43, N. 6, June 2005","ROCCETTI, MARCO"
"Fingerprints: Recognition, Performance Evaluation and Synthetic Generation","CAPPELLI, RAFFAELE"
Providing Accessible and Portable Video Lecture from Content Transcoding,"SALOMONI, PAOLA; MIRRI, SILVIA"
Almost Blue: the Design of a Cooperative Game by Integrating Accessible Interaction,"CACCIAGUERRA, STEFANO; MIRRI, SILVIA; SALOMONI, PAOLA; BALDASSARRI, MANUEL"
Filtering Algorithms for the NValue Constraint,"KIZILTAN, ZEYNEP"
An Annotated Bibliography on Networked Edutainment,"SALOMONI, PAOLA; MIRRI, SILVIA"
Reliable Distribution of Data using Replicated Web Servers,"MARZOLLA, MORENO"
Resource Discovery in a Dynamic Grid Environment,"MARZOLLA, MORENO"
Performance Evaluation of UML  Architectures with Multiclass Queueing Network Models,"MARZOLLA, MORENO"
Complete Axioms for Stateless Connectors,"LANESE, IVAN"
Synchronized Hyperedge Replacement for Heterogeneous Systems,"LANESE, IVAN"
Summary 3: On Graph(ic) Encodings,"LANESE, IVAN"
Insights Emerged while Comparing Three Models for Global Computing,"LANESE, IVAN"
A Probabilistic Model for Molecular Systems,"TROINA, ANGELO"
Automatic Analysis of a Non-Repudiation Protocol,"TROINA, ANGELO"
Timed Automata with Data Structures for Distributed Systems Design and Analysis,"TROINA, ANGELO"
An Alternative to Gillespie's Algorithm for Simulating Chemical Reactions,"TROINA, ANGELO"
Optimizing neighbors by objective functions in peer-to-peer networks,"Pau, Giovanni"
Grido- An architecture for a grid-based overlay network,"Pau, Giovanni"
Considering semantic abilities to improve a web-based distance learning system,Antonella Carbonaro; Rodolfo Ferrini
"InLinx for document classification, sharing and recommendation",Carbonaro A.
A comprehensive approach to image-contrast enhancement,Carbonaro A.
Providing accessible and portable video lecturing using content transcoding,Mirri S.; Salomoni P.
In vivo quantitative evaluation of skin ageing by capacitance image analysis,Bevilacqua A.; Gherardi A.; Guerrieri R.
"Open Source Systems, Proceedings of 1st International Conference on Open Source Systems",Succi G
An Empirical Exploration of the Distributions of the Chidamber and Kemerer Object-Oriented Metrics Suite,Succi G
Genetic Granular Classifiers in Modeling  Quality,Succi G
Teamwork in agile and plan-based companies,Succi G
A Non-invasive Approach to Product Metrics Collection,Succi G
Project management in agile and plan-based companies,Succi G
PROM: taking an echography of your  process,Succi G
Managing Uncertainty in Requirements: a Survey in Plan-Based and Agile Companies,Succi G
Defining the Total Cost of Ownership for the Transition to Open Source Systems,Succi G
Source code repositories and agile methods,Succi G
Criteria for the non invasive transition to OpenOffice,Succi G
Metodi agili e sistemi di gestione delle configurazioni,Succi G
On the Transition to an Open Source Solution for Desktop Office Automation,Succi G
Non-invasive Investigation of the  Process in Open Source Projects,Succi G
A Pilot Project in PAs to Transit to an Open Source Solution,Succi G
Tecniche di enterprise application integration di eGovernment: UniGeINT,Succi G
Identifying Individual Process Patterns by Means of Non-invasive Measurements: preliminary results,Succi G
Entertainment everywhere: System and networking issues in emerging network-centric entertainment systems: Part I,Roccetti M.
Entertainment everywhere: System and networking issues in emerging networking-centric entertainment systems: Part II,Roccetti M.
Comparing and evaluating lightweight solutions for replica dissemination and retrieval in dense MUNETs,"Bellavista, P; Corradi, A; Magistretti, E"
Coarse-to-fine strategy for robust and efficient change detectors,"Bevilacqua, A"
An Ant System Heuristic for the Two-Dimensional Finite Bin Packing Problem: preliminary results,"BOSCHETTI, MARCO ANTONIO; MANIEZZO, VITTORIO"
Coordination Artifacts: Environment-based Coordination for Intelligent Agents,"OMICINI, ANDREA; RICCI, ALESSANDRO; VIROLI, MIRKO"
Age-related Skin Analysis by Capacitance Images,"BEVILACQUA, ALESSANDRO; GHERARDI, ALESSANDRO"
"User Level Networking-Personal IP: assigning each user his/her
own IP addresses in multiuser operating systems","TASSI, ENRICO; DAVOLI, RENZO"
"libcppsim: a Simula-like, Portable Process-Oriented simulation library in C++","MARZOLLA, MORENO"
Mobile Agent Middlewares for Context-aware Applications,"BELLAVISTA, PAOLO; BOTTAZZI, DARIO; CORRADI, ANTONIO; MONTANARI, REBECCA; VECCHI, SILVIA"
"Simulation and Modeling of Wireless, Mobile and Ad Hoc Networks","BONONI, LUCIANO"
TCP/IP Performance over Optical Networks,"CALLEGATI, FRANCO; RAFFAELLI, CARLA"
Policy-based Access Control for  Context-aware Services over the Wireless Internet,"BELLAVISTA, PAOLO; CORRADI, ANTONIO"
Security for Mobile Agents: Issues and Challenges,"BELLAVISTA, PAOLO; CORRADI, ANTONIO; FEDERICI, CORRADO; MONTANARI, REBECCA; TIBALDI, DANIELA"
Run-Time Optimization of IEEE 802.11 Wireless LANs performance,"BONONI, LUCIANO"
ARTIS: A parallel and distributed simulation middleware for performance evaluation,"BONONI, LUCIANO; BRACUTO, MICHELE; D'ANGELO, GABRIELE; DONATIELLO, LORENZO"
On the Expressive Power of Movement and Restriction in Pure Mobile Ambients,"BUSI, NADIA; ZAVATTARO, GIANLUIGI"
Data-Driven Coordination in Peer-to-Peer Information System,"BUSI, NADIA; ZAVATTARO, GIANLUIGI"
A Survey on Non-Interference with Petri Nets,"BUSI, NADIA; GORRIERI, ROBERTO"
Positive Non–Interference in Elementary and Trace Nets,"BUSI, NADIA; GORRIERI, ROBERTO"
Scheduling Algorithms for a Slotted Packet Switch with either Fixed or Variable Length Packets,"CALLEGATI, FRANCO; CERRONI, WALTER; CORAZZA, GIORGIO"
Proving Correctness of Timed Concurrent Constraint Programs,"GABBRIELLI, MAURIZIO"
Formal Molecular Biology,"LANEVE, COSIMO"
Multi-agent Infrastructures for Objective and Subjective Coordination,"OMICINI, ANDREA; RICCI, ALESSANDRO; VIROLI, MIRKO"
Challenges and Research Directions in Agent-Oriented  Engineering,"OMICINI, ANDREA"
On the Semantics of Coordination Models for Distributed Systems: The LogOp Case Study,"OMICINI, ANDREA; VIROLI, MIRKO"
MAS Organisation within a Coordination Infrastructure: Experiments in TuCSoN,"OMICINI, ANDREA; RICCI, ALESSANDRO"
Coordination and Collaboration Activities in Cooperative Information Systems,"OMICINI, ANDREA"
MAS as Complex Systems: A View on the Role of Declarative Approaches,"OMICINI, ANDREA"
A System for Measuring Function Points from an ER-DFD Specification,"MELLO, PAOLA"
MAGMA: a Multiagent Architecture for Metaheuristics,"MILANO, MICHELA; ROLI, ANDREA"
An Exact Method for the Car Pooling Problem Based on Lagrangian Column Generation,"BALDACCI, ROBERTO; MANIEZZO, VITTORIO; MINGOZZI, ARISTIDE"
Higher order linear ramified recurrence,"DAL LAGO, UGO; MARTINI, SIMONE"
Phase Semantics and Decidability of Elementary Affine Logic,"MARTINI, SIMONE; DAL LAGO, UGO"
On Distributing Interactive Storytelling: Issues of Event Synchronization and a Solution,"FERRETTI, STEFANO; ROCCETTI, MARCO; CACCIAGUERRA, STEFANO"
Wavelength and time domain exploitation for QoS management in optical packet switches,"CALLEGATI, FRANCO; CERRONI, WALTER; RAFFAELLI, CARLA; ZAFFONI, PAOLO"
On asynchrony in name-passing calculi,"SANGIORGI, DAVIDE"
VidaMine: A Visual Data Mining Environment,"LODI, STEFANO; SARTORI, CLAUDIO"
Computational Logic in Multi-Agent Systems: recent advances and future directions,"TORRONI, PAOLO"
Using Abductive Logic Agents for Modeling the Judicial Evaluation of Criminal Evidence,"CIAMPOLINI, ANNA; TORRONI, PAOLO"
An Abductive Framework for Information Exchange in Multi-Agent systems,"MELLO, PAOLA; TORRONI, PAOLO"
A New Framework for Knowledge Revision of Abductive Agents Through Their Interaction,"TORRONI, PAOLO"
Modeling interactions using social integrity constraints: a resource sharing case study,"MELLO, PAOLA; TORRONI, PAOLO"
Writing the web,"DI IORIO, ANGELO; VITALI, FABIO"
Declarative Agent Languages and Technologies,"OMICINI, ANDREA; TORRONI, PAOLO"
Engineering Societies in the Agents World IV,"OMICINI, ANDREA"
Constraint and Integer Programming - Toward a Unified ,"MILANO, MICHELA"
"Computational Logic in Multi-Agent Systems. Fifth International Workshop, CLIMA V, Lisbon, Portugal, September 29-30, 2004. Pre-Proceedings","TORRONI, PAOLO"
Securing Cient-Server Communications of an Internet Auction Service,"AMOROSO, ALESSANDRO"
A Paper-Digital Agenda,"AMOROSO, ALESSANDRO"
Fast Colored Surface Rendering for Entertainment Applications on Small Devices - An Experimental Study,"AMOROSO, ALESSANDRO"
MUM: a Middleware for the Provisioning of Continuous Services to Mobile Users,"BELLAVISTA, PAOLO; CORRADI, ANTONIO; FOSCHINI, LUCA"
A QoS Management Middleware based on Mobility Prediction for Multimedia Service Continuity in the Wireless Internet,"BELLAVISTA, PAOLO; CORRADI, ANTONIO"
The ubiQoS Middleware for Audio Streaming to Bluetooth Devices,"BELLAVISTA, PAOLO"
Lightweight Code Mobility for Proxy-based Service Rebinding in MANET,"BELLAVISTA, PAOLO; CORRADI, ANTONIO; MAGISTRETTI, EUGENIO"
Middleware-level QoS Differentiation in the Wireless Internet: the ubiQoS Solution for Audio Streaming over Bluetooth,"BELLAVISTA, PAOLO"
Engineering Trust in Complex System through Mediating Infrastructures,"RICCI, ALESSANDRO; OMICINI, ANDREA"
What I See is What You Say: Coordination in a Shared Environment with Behavioral Implicit Communication,"RICCI, ALESSANDRO; VIROLI, MIRKO; OMICINI, ANDREA"
“Exhibitionists” and “Voyeurs” do it better: A Shared Environment Approach for Flexible Coordination with Tacit Messages,"RICCI, ALESSANDRO; VIROLI, MIRKO; OMICINI, ANDREA"
Integrating the Results of Multimedia Sub-Queries Using Qualitative Preferences,"BARTOLINI, ILARIA; CIACCIA, PAOLO"
"Comparing Recursion, Replication, and Iteration in Process Calculi","BUSI, NADIA; GABBRIELLI, MAURIZIO; ZAVATTARO, GIANLUIGI"
On Maintaining Interactivity in Event Delivery Synchronization for Mirrored Game Architectures,"FERRETTI, STEFANO; CACCIAGUERRA, STEFANO; ROCCETTI, MARCO"
Event Synchronization for Interactive Cyberdrama Generation on the Web: A Distributed Approach,"FERRETTI, STEFANO; ROCCETTI, MARCO"
